Age,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,CityTier,Occupation,Gender,MaritalStatus,Passport,OwnCar,Designation
44,3,3,2,0,22879,4,1,8,Self Enquiry,1,Salaried,Female,Married,1,1,Senior Manager
35,3,3,3,2,27306,1,4,20,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager
47,4,5,3,2,29131,2,4,7,Self Enquiry,3,Small Business,Female,Married,0,1,Senior Manager
32,3,4,2,0,21220,3,3,6,Self Enquiry,1,Salaried,Male,Married,0,1,Manager
59,3,3,6,2,21157,2,4,9,Self Enquiry,1,Large Business,Male,Single,0,1,Executive
44,2,4,1,1,33213,5,3,11,Self Enquiry,3,Small Business,Male,Divorced,0,1,VP
32,2,4,2,0,17837,3,4,35,Self Enquiry,1,Salaried,Female,Single,0,1,Executive
27,3,3,3,2,23974,5,4,7,Self Enquiry,3,Salaried,Male,Married,0,0,Manager
38,2,3,4,1,20249,5,4,8,Company Invited,3,Salaried,Male,Divorced,0,1,Manager
32,3,3,2,1,23499,4,4,12,Self Enquiry,1,Large Business,Male,Married,1,1,Executive
40,3,3,2,1,18319,3,3,30,Self Enquiry,1,Large Business,Male,Married,0,1,Manager
38,3,3,3,1,22963,1,4,20,Self Enquiry,1,Small Business,Male,Married,0,0,Manager
35,3,3,2,0,23789,5,3,6,Company Invited,3,Small Business,Fe Male,Unmarried,0,1,Senior Manager
35,3,5,2,1,17074,1,3,8,Self Enquiry,1,Salaried,Female,Married,1,1,Executive
34,3,3,2,1,22086,5,6,17,Self Enquiry,1,Small Business,Male,Married,0,0,Executive
33,3,4,3,1,21515,3,5,36,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Executive
51,3,3,4,0,17075,3,3,15,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive
29,2,5,2,1,16091,3,1,30,Company Invited,3,Large Business,Male,Single,0,1,Executive
