Age,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,CityTier,Occupation,Gender,MaritalStatus,Passport,OwnCar,Designation,ProdTaken
26,2,3,1,1,17741,5,3,23,Company Invited,2,Salaried,Female,Married,1,0,Executive,1
42,2,3,1,1,21062,3,4,6,Self Enquiry,1,Salaried,Female,Divorced,1,0,Manager,0
56,4,4,5,2,29654,1,4,9,Company Invited,1,Salaried,Male,Married,0,0,Senior Manager,0
27,4,5,2,2,23647,3,6,36,Company Invited,3,Small Business,Male,Unmarried,0,1,Manager,1
37,4,3,6,1,21221,5,4,9,Self Enquiry,1,Salaried,Female,Divorced,0,1,Executive,0
31,2,3,2,1,24852,1,5,28,Self Enquiry,2,Salaried,Male,Married,0,0,Executive,1
49,3,4,3,2,20390,3,4,8,Company Invited,3,Small Business,Male,Married,0,1,Manager,0
43,2,3,1,0,17455,5,3,16,Company Invited,1,Salaried,Female,Single,0,0,Executive,0
40,3,3,2,1,26558,1,2,9,Self Enquiry,3,Salaried,Male,Unmarried,0,0,Senior Manager,0
58,3,3,5,2,28117,4,3,31,Self Enquiry,1,Salaried,Male,Married,1,1,Senior Manager,0
56,3,3,5,2,24093,2,4,27,Self Enquiry,1,Large Business,Male,Divorced,1,1,Manager,0
56,2,5,1,0,28212,3,2,12,Company Invited,3,Salaried,Female,Divorced,0,1,AVP,0
52,3,3,3,2,32704,5,4,34,Self Enquiry,3,Salaried,Male,Single,1,1,Manager,1
36,3,5,3,0,25252,1,5,7,Self Enquiry,1,Large Business,Female,Married,1,1,Senior Manager,0
24,2,4,2,0,17694,5,4,15,Company Invited,1,Salaried,Male,Married,0,1,Executive,0
30,3,3,6,0,22264,3,3,14,Self Enquiry,3,Salaried,Male,Married,0,1,Senior Manager,0
25,2,5,4,0,17096,1,3,15,Self Enquiry,1,Salaried,Male,Single,0,1,Executive,1
37,3,3,3,2,24488,5,5,11,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager,0
20,2,3,2,1,16009,5,3,16,Self Enquiry,1,Small Business,Male,Single,1,1,Executive,1
44,3,3,5,1,28909,3,5,11,Self Enquiry,3,Small Business,Female,Single,0,1,Senior Manager,0
29,4,3,3,2,23586,3,4,12,Self Enquiry,3,Small Business,Male,Unmarried,0,0,Manager,0
36,3,3,5,2,28899,3,4,14,Self Enquiry,1,Salaried,Male,Single,0,0,Senior Manager,0
49,4,3,2,2,29677,5,5,11,Self Enquiry,1,Salaried,Male,Single,0,1,Senior Manager,0
36,2,3,4,0,18038,2,2,12,Self Enquiry,1,Salaried,Female,Divorced,0,0,Manager,0
41,3,4,2,1,24393,1,4,9,Self Enquiry,3,Small Business,Female,Married,0,0,Manager,0
34,3,4,5,2,20955,5,4,10,Self Enquiry,2,Salaried,Male,Married,1,0,Executive,0
30,3,3,3,1,23232,2,4,9,Company Invited,3,Salaried,Male,Unmarried,0,0,Manager,0
45,3,5,2,2,20210,2,3,13,Company Invited,1,Salaried,Male,Married,0,1,Senior Manager,0
56,3,3,5,1,24093,1,4,27,Self Enquiry,1,Large Business,Male,Married,1,0,Manager,0
18,3,3,2,1,16051,1,3,11,Company Invited,1,Salaried,Male,Single,0,0,Executive,0
40,3,3,2,1,28291,3,2,7,Self Enquiry,1,Small Business,Male,Married,0,1,Senior Manager,0
33,3,3,2,0,17686,3,3,6,Self Enquiry,1,Salaried,Male,Single,1,1,Executive,1
31,2,3,3,1,24796,1,5,12,Self Enquiry,3,Small Business,Female,Married,0,1,Manager,0
29,3,3,3,1,21381,4,5,13,Company Invited,1,Salaried,Male,Married,1,1,Executive,0
44,3,3,3,1,17290,4,5,23,Company Invited,1,Salaried,Male,Single,0,1,Executive,0
38,3,3,1,2,20329,2,5,12,Company Invited,1,Small Business,Female,Married,1,0,Manager,0
36,2,5,2,0,17743,1,1,22,Self Enquiry,1,Salaried,Female,Single,0,1,Executive,1
30,2,4,1,0,17983,1,3,13,Self Enquiry,3,Small Business,Male,Single,0,0,Executive,0
37,3,3,5,0,21502,3,3,12,Self Enquiry,3,Small Business,Male,Divorced,0,0,Manager,0
49,4,3,5,2,31182,4,4,36,Self Enquiry,3,Small Business,Female,Married,0,0,Senior Manager,0
26,3,3,8,1,22655,5,4,9,Self Enquiry,1,Salaried,Male,Married,1,0,Executive,0
36,4,3,3,1,21082,3,4,14,Self Enquiry,3,Salaried,Male,Divorced,0,1,Executive,0
39,3,3,3,1,21084,3,4,36,Company Invited,1,Salaried,Female,Single,0,1,Manager,0
35,2,3,2,1,16281,1,4,9,Company Invited,1,Salaried,Male,Married,0,1,Executive,0
51,1,5,4,0,22484,2,4,6,Company Invited,1,Small Business,Female,Unmarried,0,1,Senior Manager,0
37,3,3,5,2,24602,3,3,8,Self Enquiry,3,Small Business,Male,Married,1,0,Manager,0
28,3,3,3,1,20384,1,4,10,Company Invited,1,Small Business,Male,Married,0,0,Executive,0
35,3,3,5,2,25377,5,4,14,Company Invited,3,Small Business,Female,Married,1,1,Senior Manager,0
31,3,4,3,1,20819,5,5,14,Self Enquiry,1,Small Business,Male,Married,0,0,Executive,0
31,2,5,1,0,17956,1,1,24,Self Enquiry,2,Salaried,Male,Married,0,1,Executive,1
30,4,3,2,2,24972,3,2,7,Company Invited,1,Salaried,Male,Unmarried,1,0,Manager,0
35,3,3,5,0,22632,1,3,22,Self Enquiry,1,Salaried,Male,Married,1,0,Senior Manager,0
46,3,3,8,1,27543,4,5,13,Company Invited,3,Small Business,Fe Male,Unmarried,0,1,Senior Manager,0
21,3,3,3,2,21356,3,2,28,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Executive,0
30,2,3,1,0,20304,3,3,33,Self Enquiry,3,Small Business,Male,Married,0,1,Manager,0
37,3,3,6,1,28377,1,5,10,Company Invited,3,Small Business,Male,Married,0,0,Senior Manager,0
48,3,3,2,1,32448,5,4,10,Company Invited,3,Small Business,Female,Married,1,1,AVP,0
36,3,3,3,2,23776,4,4,16,Self Enquiry,1,Small Business,Male,Unmarried,0,0,Manager,0
49,2,3,4,0,34161,3,3,8,Company Invited,1,Salaried,Male,Married,0,1,VP,0
33,2,3,1,1,21949,4,4,6,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Manager,0
20,4,4,3,3,20161,3,4,10,Self Enquiry,1,Small Business,Female,Single,0,1,Executive,0
30,3,3,8,2,21478,1,5,7,Self Enquiry,3,Small Business,Female,Married,1,1,Executive,1
32,4,3,2,2,24260,3,5,30,Self Enquiry,1,Small Business,Male,Divorced,0,1,Manager,0
58,2,4,1,0,34246,3,3,8,Self Enquiry,1,Salaried,Male,Single,1,1,VP,1
29,3,3,3,1,22545,4,5,9,Company Invited,1,Salaried,Male,Divorced,1,1,Executive,0
33,3,3,5,2,21716,1,4,13,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Executive,0
35,3,4,2,0,22295,4,3,6,Self Enquiry,3,Small Business,Male,Married,0,0,Senior Manager,0
42,3,3,5,1,17093,3,3,11,Company Invited,1,Salaried,Male,Married,0,0,Executive,0
42,2,3,3,0,30992,3,3,29,Self Enquiry,1,Salaried,Female,Single,0,0,AVP,0
48,3,4,6,2,17559,2,1,8,Self Enquiry,1,Large Business,Male,Single,0,0,Executive,0
27,2,4,2,0,21214,2,3,14,Self Enquiry,3,Small Business,Female,Divorced,0,0,Manager,0
22,3,3,3,2,22125,2,4,29,Self Enquiry,3,Large Business,Male,Unmarried,0,1,Executive,0
28,3,5,2,0,23722,2,4,30,Company Invited,1,Large Business,Male,Unmarried,0,0,Senior Manager,1
38,4,5,3,1,21712,4,4,21,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
41,2,3,2,1,34545,4,3,18,Self Enquiry,1,Large Business,Female,Married,0,1,VP,1
50,3,3,4,2,28973,4,3,30,Self Enquiry,1,Salaried,Male,Married,1,1,AVP,0
35,4,3,2,2,28403,5,2,7,Self Enquiry,3,Small Business,Male,Married,0,0,Manager,0
21,4,5,3,2,21278,3,5,18,Self Enquiry,1,Small Business,Female,Unmarried,1,0,Executive,1
24,3,3,3,2,17293,3,3,6,Self Enquiry,1,Small Business,Male,Married,1,0,Executive,1
49,2,3,1,0,25965,1,4,13,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Senior Manager,0
38,2,3,1,1,22625,2,2,6,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Manager,0
53,3,3,2,1,21827,1,4,18,Self Enquiry,1,Salaried,Female,Married,0,1,Manager,0
35,4,3,2,2,21610,1,2,9,Self Enquiry,1,Small Business,Male,Married,1,0,Executive,0
27,3,3,2,1,22835,1,5,30,Self Enquiry,3,Small Business,Female,Married,1,0,Manager,0
35,3,3,2,1,25685,4,4,15,Self Enquiry,1,Salaried,Female,Divorced,1,1,Senior Manager,0
